experiment_id,experiment,total_cost_per_req,compute_per_req,network_per_req,storage_per_req,penalty_per_req,avg_served_reqs,avg_dropped_reqs,avg_min_p95_ttft_sec
1,Experiment 1 (SP1+SP2),0.006465640179638252,0.002843770458571958,0.00017799294082100728,3.5707909301910374e-06,0.003440305989315095,1205761.0,250499.0,0.0
2,Experiment 2 (SP1+SP2 w/o semantic),0.0068127115729537755,0.002934080433045021,0.00023484301225303717,4.270778113180599e-06,0.0036395173495425365,1191282.0,265010.0,0.0
3,Experiment 3 (SP1+Random),0.009160860070705828,0.005738525940690319,0.0002369469198198093,4.270294282632444e-06,0.0031811169159130684,1224799.0,231658.0,0.0
4,Experiment 5 (Slora),0.009351466017201325,0.005771374355395824,0.0005367596605798713,2.5705337319145814e-08,0.003043306295888311,1236856.0,221985.0,0.0
5,Experiment 4 (Dlora),0.009426672584606546,0.005724680729428362,0.0005745656997575473,2.5705337319145814e-08,0.00312740045008332,1230722.0,228119.0,0.0
