experiment_id,experiment,total_cost_per_req,compute_per_req,network_per_req,storage_per_req,penalty_per_req,avg_served_reqs,avg_dropped_reqs,avg_min_p95_ttft_sec
1,Experiment 1 (SP1+SP2),0.004745487184980703,0.002843770458571958,0.00017799294082100728,3.5707909301910374e-06,0.0017201529946575475,1205761.0,250499.0,0.0
2,Experiment 2 (SP1+SP2 w/o semantic),0.004992952898182507,0.002934080433045021,0.00023484301225303717,4.270778113180599e-06,0.0018197586747712683,1191282.0,265010.0,0.0
3,Experiment 3 (SP1+Random),0.007570301612749294,0.005738525940690319,0.0002369469198198093,4.270294282632444e-06,0.0015905584579565342,1224799.0,231658.0,0.0
4,Experiment 5 (Slora),0.00782981286925717,0.005771374355395824,0.0005367596605798713,2.5705337319145814e-08,0.0015216531479441556,1236856.0,221985.0,0.0
5,Experiment 4 (Dlora),0.007862972359564888,0.005724680729428362,0.0005745656997575473,2.5705337319145814e-08,0.00156370022504166,1230722.0,228119.0,0.0
