experiment_id,experiment,total_cost_per_req,compute_per_req,network_per_req,storage_per_req,penalty_per_req,avg_served_reqs,avg_dropped_reqs,avg_min_p95_ttft_sec
1,Experiment 1 (SP1+SP2),0.017932491410844735,0.0021696762073922992,0.00013097348001815548,2.4693626126612925e-06,0.018253398750729462,32191.5,14075.5,4.032258772850037
2,Experiment 2 (SP1+SP2 w/o semantic),0.01929515668804102,0.0021587116076732574,0.00024359347248952614,3.6171121273817553e-06,0.02048219910515926,26607.5,13790.75,3.060553449392319
4,Experiment 5 (Slora),0.02555751131571092,0.002053023310103739,0.0003052296004883674,4.521920007235072e-07,0.023198806213118088,27128.0,17101.0,1.9836262464523315
3,Experiment 3 (SP1+Random),0.026825991979676167,0.0023502307981991717,0.00021232454860773444,3.157854927766432e-06,0.026525981393238033,25816.0,20457.5,2.092370742559433
5,Experiment 4 (Dlora),0.028577754505159075,0.0024712891099802434,0.0007304646363807913,5.356740666792469e-07,0.026305127253026864,23064.0,18005.75,10.106564009189606
