Scale,Algorithm,Max_Throughput_RPS
1c_2n,Ours (SP1+SP2),2.01
1c_2n,Ours w/o SP2,1.43
1c_2n,Ours w/o Sem,1.83
1c_2n,S-LoRA,1.32
1c_2n,dLoRA,1.51
2c_3n,Ours (SP1+SP2),2.71
2c_3n,Ours w/o SP2,2.06
2c_3n,Ours w/o Sem,2.16
2c_3n,S-LoRA,1.88
2c_3n,dLoRA,2.17
10c_50n,Ours (SP1+SP2),39.54
10c_50n,Ours w/o SP2,33.12
10c_50n,Ours w/o Sem,36.23
10c_50n,S-LoRA,31.79
10c_50n,dLoRA,34.09
