experiment_id,experiment,total_cost_per_req,compute_per_req,network_per_req,storage_per_req,penalty_per_req,avg_served_reqs,avg_dropped_reqs,avg_min_p95_ttft_sec
1,Experiment 1 (SP1+SP2),0.015212316596050567,0.0022081142886269133,9.73029075550302e-05,1.7550561473814708e-06,0.012926150696977123,27213.0,7472.5,4.012218856811524
2,Experiment 2 (SP1+SP2 w/o semantic),0.01773348298395856,0.002060519220553656,0.0001539217528291252,2.2871471723200994e-06,0.015367027503577055,25735.0,8860.5,5.30991005897522
3,Experiment 3 (SP1+Random),0.024164421059814718,0.0024865539000104016,0.0001534847524067562,2.2806537153398283e-06,0.021710958667204704,22140.0,12554.0,1.6661352276802064
4,Experiment 5 (Slora),0.024915418374762244,0.002491806663690145,0.0008257555014339036,2.882218155092159e-07,0.0217216930149443,22134.75,12560.75,3.5864574193954466
5,Experiment 4 (Dlora),0.026615333274495168,0.0024408008495354263,0.0006713114754098361,3.6065573770491807e-07,0.025044590163934424,17769.0,12731.0,3.530155527591705
